states,particles,matter_type,density,hf,mbpt,cc,time
7, 132, 2, 0.20000000000000001, -10.631256413687332, -13.489146290649755, -13.249009614110163, 41.148758000000001
8, 132, 2, 0.20000000000000001, -10.631256413687327, -13.965524774752952, -13.692462549041137, 59.004871000000001
9, 132, 2, 0.20000000000000001, -10.631256619332135, -14.851958691624173, -14.523175240226376, 146.05556000000001
10, 132, 2, 0.20000000000000001, -10.631256808167286, -15.286528209678323, -14.946646920206014, 304.63433099999997
11, 132, 2, 0.20000000000000001, -10.631256761382264, -15.507653379071831, -15.176082615702629, 360.60799700000001
12, 132, 2, 0.20000000000000001, -10.631256500425549, -15.546876895674938, -15.219675013756399, 448.36448799999999
13, 132, 2, 0.20000000000000001, -10.631256785562055, -15.627269713021853, -15.315513120569001, 786.43342500000006
14, 132, 2, 0.20000000000000001, -10.631256877275110, -15.702789171352203, -15.414925769884242, 1502.8174010000000
25, 132, 2, 0.20000000000000001, -10.631256314162433, -15.711013640530767, -15.435495119254586, 8388.3087759999999
